,highest_level_offered,HBCU,category,longitude,latitude,room_cost,board_cost,application_fee,in_tuition,in_fees,out_tuition,out_fees,EFFYLEV,total_students,total_men,total_women,retention,student_faculty_ratio,num_students_financial_aid,num_students_receiving_aid_federal,total_federal_aid_awarded,total_aid_awarded,num_pell_grants,total_pell_grants,num_students_receiving_aid_state_local,total_state_local_aid_awarded,num_students_receiving_institutional_aid,total_institutional_aid_awarded,num_students_loans,total_loans_awarded,total_scholarships_awarded
highest_level_offered,1.0,-0.09209457366375014,-0.6525684939870303,0.01797846272660108,0.07895226988696472,0.5060946058478671,0.49162230457901196,-0.12794553421117072,0.3179227861260222,0.1434571124961735,0.32014759887935584,0.13500812289121342,,0.21044056928402624,0.2103619148238592,0.20514512697303167,0.08006978040406909,-0.0631962248668715,0.2598775354935724,0.3740455322398303,0.38691293748471883,0.42888873735634386,0.2427087800695046,0.25863630098385976,0.26338628065129566,0.250628767686441,0.42636811382907064,0.40262541658062684,0.29599974852371724,0.3022332181189504,0.2579758822116748
HBCU,-0.09209457366375014,1.0,0.08340080496203345,-0.037219114740629236,0.06338776283365755,-0.10826189739201765,-0.1352557859003624,0.028920866605430744,0.03644074458787713,-0.09857464490034808,0.03329625350962919,-0.1107501935777962,,0.0037439115837483825,0.007640108317238352,0.000479869963237643,0.07493638273287385,-0.012369235050277948,0.00027309167257029437,-0.03998038143361373,-0.05078082686419956,-0.014772181842180841,-0.03858288755807734,-0.05075471527984794,-0.02071295755435592,-0.01619815416327053,-0.027331212066954474,0.0003921736064759542,-0.05424321014035458,-0.05281983253600379,-0.014423455525450822
category,-0.6525684939870303,0.08340080496203345,1.0,-0.006910450901396461,-0.050050971497025205,-0.3452046168531147,-0.34291988526444434,0.26841625239863504,-0.21345969424714023,-0.07369190445917476,-0.19211622945080015,-0.07005065764523621,,-0.14259513499536894,-0.13929203895535078,-0.14024296705265518,0.0018518950024154735,0.04301633079620299,-0.1667016273258902,-0.22037245428998026,-0.2245583086772716,-0.2553793760910769,-0.1609144661357685,-0.16861595301576138,-0.15501031688906453,-0.13945888957806044,-0.24503834817162023,-0.2355136849621384,-0.16546798448227684,-0.16505138783655793,-0.14620075389868334
longitude,0.01797846272660108,-0.037219114740629236,-0.006910450901396461,1.0,-0.05338063358130462,0.08133359934953749,0.07717823143852333,0.0036456148401708428,0.08455891276183032,0.06469369154551732,0.061507424136947104,0.06288926779153042,,-0.06971779187399592,-0.07088252279906512,-0.06707459771157852,-0.0177527264917641,-0.09068693209120511,-0.06076046344291462,0.013070771753650234,0.012511217540768746,0.012427899361090039,-0.030729583986595147,-0.026846231510864103,-0.02452614344602503,-0.020737493956190102,0.013538869759120125,0.05546318979254623,0.021799646482314573,0.034387468751933395,-0.03756526533249289
latitude,0.07895226988696472,0.06338776283365755,-0.050050971497025205,-0.05338063358130462,1.0,0.1436376051798994,0.13364181295946234,0.004300286254179005,0.14825588540351253,0.010628410841138192,0.1506441821244002,-0.007239677893737602,,-0.008816076294192362,-0.0026291287942351357,-0.013549816310402365,0.07019164978186639,-0.13596815900776277,-0.01265727212577791,0.02448811938719913,0.02497023372005871,0.03487870690099802,-0.06438602716982211,-0.07297744988683919,-0.02804337027081872,-0.02532577380143861,0.04992905579318308,0.08843021745081303,0.019245681370470752,0.03159115564655964,-0.03344187434897652
room_cost,0.5060946058478671,-0.10826189739201765,-0.3452046168531147,0.08133359934953749,0.1436376051798994,1.0,0.7924956646986052,0.01001694567553313,0.4575020589980936,0.22840790620678741,0.5078388685366549,0.21084262093652156,,0.17439564955815676,0.1780250126417737,0.1676201127249778,0.14447235023532864,-0.08475110186984898,0.22618893847864227,0.3320313479032502,0.3340950763149049,0.4554711132044834,0.19647813129637035,0.21317632226718486,0.26829153168418557,0.22516549055442756,0.43319810924688523,0.4819808081616636,0.3068629415138773,0.31790963770791225,0.211794597742769
board_cost,0.49162230457901196,-0.1352557859003624,-0.34291988526444434,0.07717823143852333,0.13364181295946234,0.7924956646986052,1.0,-0.020813985536380593,0.5262382837037864,0.2164269067402485,0.5772244345416931,0.19692812472439242,,0.15751356351088736,0.16416121914002688,0.14892649742905495,0.13223303082765875,-0.08208279113252474,0.21081170417232045,0.33144036745216915,0.33523617179671206,0.46648365708278083,0.17086935640861828,0.18642319008446787,0.24869366189127146,0.2106500604122774,0.4580939316985731,0.5194001999318746,0.3192518292855981,0.33213016033909354,0.1921567905101961
application_fee,-0.12794553421117072,0.028920866605430744,0.26841625239863504,0.0036456148401708428,0.004300286254179005,0.01001694567553313,-0.020813985536380593,1.0,0.08488509547149158,0.09311028586197805,0.1476678792158907,0.07872507682114657,,-0.06799018593075097,-0.0599643746661381,-0.07224180588033602,0.15031208682880157,-0.0897763797566013,-0.0432055778739449,0.02218506806409433,0.024926353188960124,0.05011117484801403,-0.052815670177034084,-0.04206661844252633,-0.01195652503892075,0.03809062831231476,0.05470971250847247,0.06671468187455316,0.029005276444295153,0.03872498730589176,0.06949159438667382
in_tuition,0.3179227861260222,0.03644074458787713,-0.21345969424714023,0.08455891276183032,0.14825588540351253,0.4575020589980936,0.5262382837037864,0.08488509547149158,1.0,0.06087095354677324,0.9320131651297325,0.030648034462388295,,-0.10259520256875185,-0.10149079829160594,-0.10044518667953611,0.210971377864608,-0.2408278959842712,-0.07855490315812362,0.05204877453070402,0.07690612734441839,0.3522743150302815,-0.11680570598612613,-0.10694284587052137,-0.07161382148519861,-0.007080502108764855,0.22401231895121781,0.5666561118570704,0.093173490269308,0.13906891656687062,-0.07499039687078671
in_fees,0.1434571124961735,-0.09857464490034808,-0.07369190445917476,0.06469369154551732,0.010628410841138192,0.22840790620678741,0.2164269067402485,0.09311028586197805,0.06087095354677324,1.0,0.13070450218716895,0.9196268314545418,,0.09241934107925108,0.09593996058823544,0.08781890572943733,0.03859974237523735,-0.02769357619379201,0.12168371936436308,0.1859996003834675,0.18398396708624623,0.16939471354117974,0.11508144206341551,0.12671739483092773,0.16128156585169792,0.1611261036785986,0.19433556324882498,0.1293449542576228,0.173940461539555,0.1715196248541045,0.16030765209036907
out_tuition,0.32014759887935584,0.03329625350962919,-0.19211622945080015,0.061507424136947104,0.1506441821244002,0.5078388685366549,0.5772244345416931,0.1476678792158907,0.9320131651297325,0.13070450218716895,1.0,0.09067626005881176,,0.029146416434116678,0.03757152907844514,0.02252179868416356,0.2558599485506083,-0.18647094765345876,0.08043971744005354,0.20554685180989837,0.21924776446339037,0.4968878482344889,0.017212555622581758,0.03343308210208114,0.10504679620600417,0.16611651622240967,0.4017378962685323,0.6424341249209429,0.2371338258426394,0.270363552766542,0.1346986403569792
out_fees,0.13500812289121342,-0.1107501935777962,-0.07005065764523621,0.06288926779153042,-0.007239677893737602,0.21084262093652156,0.19692812472439242,0.07872507682114657,0.030648034462388295,0.9196268314545418,0.09067626005881176,1.0,,0.09867410381867422,0.10073406456498295,0.0950662274585274,0.03144840504332459,-0.005065882716469881,0.12765819684238294,0.18160603342342807,0.1753302638001137,0.16422368656664033,0.12424331635020777,0.13171286870046445,0.18181506854428905,0.18337444321634713,0.18493246881461659,0.11427036365593876,0.165900180260829,0.1631645285590009,0.17189008160492283
EFFYLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_students,0.21044056928402624,0.0037439115837483825,-0.14259513499536894,-0.06971779187399592,-0.008816076294192362,0.17439564955815676,0.15751356351088736,-0.06799018593075097,-0.10259520256875185,0.09241934107925108,0.029146416434116678,0.09867410381867422,,1.0,0.9839566141306433,0.9897848992941112,0.0016548146287356303,0.28416565649406406,0.9782472010837452,0.7590495407646507,0.7065799231253322,0.6143011578493215,0.9080317819142439,0.8687412928308242,0.6201146440521277,0.45629132433383274,0.5372775511158951,0.29756631402757316,0.45943921917755715,0.4168136997714864,0.5759411715626869
total_men,0.2103619148238592,0.007640108317238352,-0.13929203895535078,-0.07088252279906512,-0.0026291287942351357,0.1780250126417737,0.16416121914002688,-0.0599643746661381,-0.10149079829160594,0.09593996058823544,0.03757152907844514,0.10073406456498295,,0.9839566141306433,1.0,0.9484757428602721,0.016917903308394842,0.2832157068990993,0.9686136452391665,0.7232546986337414,0.669307375980876,0.6181047483089984,0.8694571710260656,0.8338873793490894,0.6293318734162646,0.46732651503234784,0.5583257888997142,0.3149767809496115,0.4435406651761817,0.4048385411955243,0.595878976329596
total_women,0.20514512697303167,0.000479869963237643,-0.14024296705265518,-0.06707459771157852,-0.013549816310402365,0.1676201127249778,0.14892649742905495,-0.07224180588033602,-0.10044518667953611,0.08781890572943733,0.02252179868416356,0.0950662274585274,,0.9897848992941112,0.9484757428602721,1.0,-0.010647862375161342,0.27840654414424326,0.9634249852971565,0.7702171806087966,0.7201470099552254,0.5972431398142588,0.9179496113589376,0.8766021083328945,0.598566807627228,0.43703192335127916,0.5082212459543368,0.2769881209670858,0.4616745489232105,0.4169039333455948,0.5467186792477802
retention,0.08006978040406909,0.07493638273287385,0.0018518950024154735,-0.0177527264917641,0.07019164978186639,0.14447235023532864,0.13223303082765875,0.15031208682880157,0.210971377864608,0.03859974237523735,0.2558599485506083,0.03144840504332459,,0.0016548146287356303,0.016917903308394842,-0.010647862375161342,1.0,-0.10481293234512906,0.0394878111509977,0.07271386660355955,0.07073940525767665,0.19556052266373308,-0.007232408554552429,0.00603294074561807,0.062451638450536084,0.09373472282610767,0.17705970516637848,0.2364416759915143,0.10390505566184494,0.12084489110939689,0.11258474558078979
student_faculty_ratio,-0.0631962248668715,-0.012369235050277948,0.04301633079620299,-0.09068693209120511,-0.13596815900776277,-0.08475110186984898,-0.08208279113252474,-0.0897763797566013,-0.2408278959842712,-0.02769357619379201,-0.18647094765345876,-0.005065882716469881,,0.28416565649406406,0.2832157068990993,0.27840654414424326,-0.10481293234512906,1.0,0.27619585386787593,0.17829649526217653,0.16542456611530365,0.07341964957582646,0.28176201856420746,0.26818102597079635,0.20523426907392023,0.12093876092029272,0.0751068804709934,-0.05676612625563523,0.12948087437500033,0.10790263489963922,0.14855160805222226
num_students_financial_aid,0.2598775354935724,0.00027309167257029437,-0.1667016273258902,-0.06076046344291462,-0.01265727212577791,0.22618893847864227,0.21081170417232045,-0.0432055778739449,-0.07855490315812362,0.12168371936436308,0.08043971744005354,0.12765819684238294,,0.9782472010837452,0.9686136452391665,0.9634249852971565,0.0394878111509977,0.27619585386787593,1.0,0.8163680637843692,0.763976427136722,0.7013502548936377,0.9221717735245464,0.8962953671134646,0.6930476404907753,0.5378046110808773,0.6490215499695128,0.37884467538760036,0.5492694294661072,0.5063522073404054,0.6746244321608683
num_students_receiving_aid_federal,0.3740455322398303,-0.03998038143361373,-0.22037245428998026,0.013070771753650234,0.02448811938719913,0.3320313479032502,0.33144036745216915,0.02218506806409433,0.05204877453070402,0.1859996003834675,0.20554685180989837,0.18160603342342807,,0.7590495407646507,0.7232546986337414,0.7702171806087966,0.07271386660355955,0.17829649526217653,0.8163680637843692,1.0,0.9724490490756187,0.7174891298907775,0.8203754081470994,0.8075769488092579,0.582408917288285,0.5085068706853606,0.740304083355491,0.4542403446519911,0.7288945550457137,0.7020552787674535,0.6349400350411526
total_federal_aid_awarded,0.38691293748471883,-0.05078082686419956,-0.2245583086772716,0.012511217540768746,0.02497023372005871,0.3340950763149049,0.33523617179671206,0.024926353188960124,0.07690612734441839,0.18398396708624623,0.21924776446339037,0.1753302638001137,,0.7065799231253322,0.669307375980876,0.7201470099552254,0.07073940525767665,0.16542456611530365,0.763976427136722,0.9724490490756187,1.0,0.6988161019216695,0.7790023829203261,0.7772538214500896,0.539991959929701,0.4772183109903417,0.7227024193929258,0.44915037181408524,0.7198232730856376,0.7072455511725497,0.5900322168661797
total_aid_awarded,0.42888873735634386,-0.014772181842180841,-0.2553793760910769,0.012427899361090039,0.03487870690099802,0.4554711132044834,0.46648365708278083,0.05011117484801403,0.3522743150302815,0.16939471354117974,0.4968878482344889,0.16422368656664033,,0.6143011578493215,0.6181047483089984,0.5972431398142588,0.19556052266373308,0.07341964957582646,0.7013502548936377,0.7174891298907775,0.6988161019216695,1.0,0.6366328547834216,0.6631446971503147,0.6166582730846434,0.618836191882594,0.8588844830679858,0.8650641307444271,0.6166509890624254,0.6089699844959772,0.6865142646671439
num_pell_grants,0.2427087800695046,-0.03858288755807734,-0.1609144661357685,-0.030729583986595147,-0.06438602716982211,0.19647813129637035,0.17086935640861828,-0.052815670177034084,-0.11680570598612613,0.11508144206341551,0.017212555622581758,0.12424331635020777,,0.9080317819142439,0.8694571710260656,0.9179496113589376,-0.007232408554552429,0.28176201856420746,0.9221717735245464,0.8203754081470994,0.7790023829203261,0.6366328547834216,1.0,0.9849536269218601,0.6937914779316933,0.527644872249784,0.5537241981323423,0.2591713125968422,0.5545324124775858,0.4959441191158578,0.6580238000851989
total_pell_grants,0.25863630098385976,-0.05075471527984794,-0.16861595301576138,-0.026846231510864103,-0.07297744988683919,0.21317632226718486,0.18642319008446787,-0.04206661844252633,-0.10694284587052137,0.12671739483092773,0.03343308210208114,0.13171286870046445,,0.8687412928308242,0.8338873793490894,0.8766021083328945,0.00603294074561807,0.26818102597079635,0.8962953671134646,0.8075769488092579,0.7772538214500896,0.6631446971503147,0.9849536269218601,1.0,0.7100083090275983,0.5570078580043865,0.5887661951767935,0.2803274812088498,0.6075079531511202,0.54905373999594,0.6894406850389522
num_students_receiving_aid_state_local,0.26338628065129566,-0.02071295755435592,-0.15501031688906453,-0.02452614344602503,-0.02804337027081872,0.26829153168418557,0.24869366189127146,-0.01195652503892075,-0.07161382148519861,0.16128156585169792,0.10504679620600417,0.18181506854428905,,0.6201146440521277,0.6293318734162646,0.598566807627228,0.062451638450536084,0.20523426907392023,0.6930476404907753,0.582408917288285,0.539991959929701,0.6166582730846434,0.6937914779316933,0.7100083090275983,1.0,0.8590562440604738,0.5745222214180999,0.27837009975321086,0.47765205801563043,0.4195282989345231,0.8115249556633473
total_state_local_aid_awarded,0.250628767686441,-0.01619815416327053,-0.13945888957806044,-0.020737493956190102,-0.02532577380143861,0.22516549055442756,0.2106500604122774,0.03809062831231476,-0.007080502108764855,0.1611261036785986,0.16611651622240967,0.18337444321634713,,0.45629132433383274,0.46732651503234784,0.43703192335127916,0.09373472282610767,0.12093876092029272,0.5378046110808773,0.5085068706853606,0.4772183109903417,0.618836191882594,0.527644872249784,0.5570078580043865,0.8590562440604738,1.0,0.5426112176096746,0.2973830506586177,0.43652003332216255,0.3819993432676719,0.8479655427722269
num_students_receiving_institutional_aid,0.42636811382907064,-0.027331212066954474,-0.24503834817162023,0.013538869759120125,0.04992905579318308,0.43319810924688523,0.4580939316985731,0.05470971250847247,0.22401231895121781,0.19433556324882498,0.4017378962685323,0.18493246881461659,,0.5372775511158951,0.5583257888997142,0.5082212459543368,0.17705970516637848,0.0751068804709934,0.6490215499695128,0.740304083355491,0.7227024193929258,0.8588844830679858,0.5537241981323423,0.5887661951767935,0.5745222214180999,0.5426112176096746,1.0,0.761475904480544,0.7147209158988664,0.7140384998887586,0.7245436458853045
total_institutional_aid_awarded,0.40262541658062684,0.0003921736064759542,-0.2355136849621384,0.05546318979254623,0.08843021745081303,0.4819808081616636,0.5194001999318746,0.06671468187455316,0.5666561118570704,0.1293449542576228,0.6424341249209429,0.11427036365593876,,0.29756631402757316,0.3149767809496115,0.2769881209670858,0.2364416759915143,-0.05676612625563523,0.37884467538760036,0.4542403446519911,0.44915037181408524,0.8650641307444271,0.2591713125968422,0.2803274812088498,0.27837009975321086,0.2973830506586177,0.761475904480544,1.0,0.4596403210924818,0.4937246993719932,0.3621841602770674
num_students_loans,0.29599974852371724,-0.05424321014035458,-0.16546798448227684,0.021799646482314573,0.019245681370470752,0.3068629415138773,0.3192518292855981,0.029005276444295153,0.093173490269308,0.173940461539555,0.2371338258426394,0.165900180260829,,0.45943921917755715,0.4435406651761817,0.4616745489232105,0.10390505566184494,0.12948087437500033,0.5492694294661072,0.7288945550457137,0.7198232730856376,0.6166509890624254,0.5545324124775858,0.6075079531511202,0.47765205801563043,0.43652003332216255,0.7147209158988664,0.4596403210924818,1.0,0.9778927289784317,0.539791070468624
total_loans_awarded,0.3022332181189504,-0.05281983253600379,-0.16505138783655793,0.034387468751933395,0.03159115564655964,0.31790963770791225,0.33213016033909354,0.03872498730589176,0.13906891656687062,0.1715196248541045,0.270363552766542,0.1631645285590009,,0.4168136997714864,0.4048385411955243,0.4169039333455948,0.12084489110939689,0.10790263489963922,0.5063522073404054,0.7020552787674535,0.7072455511725497,0.6089699844959772,0.4959441191158578,0.54905373999594,0.4195282989345231,0.3819993432676719,0.7140384998887586,0.4937246993719932,0.9778927289784317,1.0,0.47837118678077406
total_scholarships_awarded,0.2579758822116748,-0.014423455525450822,-0.14620075389868334,-0.03756526533249289,-0.03344187434897652,0.211794597742769,0.1921567905101961,0.06949159438667382,-0.07499039687078671,0.16030765209036907,0.1346986403569792,0.17189008160492283,,0.5759411715626869,0.595878976329596,0.5467186792477802,0.11258474558078979,0.14855160805222226,0.6746244321608683,0.6349400350411526,0.5900322168661797,0.6865142646671439,0.6580238000851989,0.6894406850389522,0.8115249556633473,0.8479655427722269,0.7245436458853045,0.3621841602770674,0.539791070468624,0.47837118678077406,1.0
